,fips,fraction_votes,candidate
641,19091,0.025999999999999999,Rand Paul
642,19091,0.014999999999999999,Rick Santorum
643,19091,0.27800000000000002,Ted Cruz
644,19093,0.08199999999999999,Ben Carson
645,19093,0.46700000000000003,Bernie Sanders
646,19093,0.060999999999999999,Carly Fiorina
647,19093,0.0080000000000000002,Chris Christie
648,19093,0.25800000000000001,Donald Trump
649,19093,0.53299999999999992,Hillary Clinton
650,19093,0.014999999999999999,Jeb Bush
651,19093,0.0060000000000000001,John Kasich
652,19093,0.25600000000000001,Marco Rubio
653,19093,0.0,Martin O'Malley
654,19093,0.014999999999999999,Mike Huckabee
655,19093,0.012999999999999999,Rand Paul
656,19093,0.027000000000000003,Rick Santorum
657,19093,0.25600000000000001,Ted Cruz
658,19095,0.10199999999999999,Ben Carson
659,19095,0.48999999999999999,Bernie Sanders
660,19095,0.024,Carly Fiorina
661,19095,0.012,Chris Christie
662,19095,0.24099999999999999,Donald Trump
663,19095,0.51000000000000001,Hillary Clinton
664,19095,0.010999999999999999,Jeb Bush
665,19095,0.014,John Kasich
666,19095,0.158,Marco Rubio
667,19095,0.0,Martin O'Malley
668,19095,0.032000000000000001,Mike Huckabee
669,19095,0.054000000000000006,Rand Paul
670,19095,0.012,Rick Santorum
671,19095,0.34200000000000003,Ted Cruz
672,19097,0.069000000000000006,Ben Carson
673,19097,0.46000000000000002,Bernie Sanders
674,19097,0.023,Carly Fiorina
675,19097,0.019,Chris Christie
676,19097,0.32900000000000001,Donald Trump
677,19097,0.5,Hillary Clinton
678,19097,0.028000000000000001,Jeb Bush
