,party1,candidate1,party2,candidate2,Rvalue,Pvalue,StdError,Slope,Intercept
110,Republican,John Kasich,Republican,Rick Santorum,0.055465290286190065,0.58750770431634081,0.11502578635206347,0.062606752776726282,0.009216155330483514
111,Republican,John Kasich,Republican,Ted Cruz,-0.40919574459313091,2.8698371819164988e-05,0.5458780396226931,-2.3985837080259631,0.32848658031040245
112,Republican,Marco Rubio,Republican,Ben Carson,-0.16113962802413692,0.11294108603242045,0.064531120678469681,-0.10323337305029398,0.12524704556688998
113,Republican,Marco Rubio,Democrat,Bernie Sanders,0.29022083541840282,0.0037454221062593785,0.13593442134806138,0.4039243162642524,0.39652297250359436
114,Republican,Marco Rubio,Republican,Carly Fiorina,0.029656240538514823,0.77190900643991256,0.032983340054406167,0.0095882071403851094,0.01842073278734551
115,Republican,Marco Rubio,Republican,Chris Christie,0.18493103277346742,0.068304490237485527,0.015646854499489795,0.028848865554214908,0.0073381868841070836
116,Republican,Marco Rubio,Republican,Donald Trump,-0.49307775462041947,2.4948215559408759e-07,0.088141878452061242,-0.48946477260522109,0.36139563824234544
117,Republican,Marco Rubio,Democrat,Hillary Clinton,-0.28908636919668923,0.0038893308434031302,0.13302444920700979,-0.39359110206086434,0.59286985262851122
118,Republican,Marco Rubio,Republican,Jeb Bush,0.2176984421960276,0.031291126271729919,0.021365373495081011,0.046692212607381843,0.014889616003778661
119,Republican,Marco Rubio,Republican,John Kasich,0.3385228225837133,0.00065092814591667398,0.016568186811082467,0.058402068589955766,0.0013704026885262843
120,Republican,Marco Rubio,Republican,Marco Rubio,1.0,0.0,0.0,1.0,0.0
121,Republican,Marco Rubio,Democrat,Martin O'Malley,-0.040116275600687104,0.69491532954282764,0.040738463648457873,-0.016025463868766958,0.011229035223312117
122,Republican,Marco Rubio,Republican,Mike Huckabee,-0.41629562594702907,2.0130316266693653e-05,0.029340835290155638,-0.13162443101842286,0.048822734798526973
123,Republican,Marco Rubio,Republican,Rand Paul,0.21831168406082141,0.030806204631412766,0.03188454439016622,0.06988706418382272,0.021097572292929027
124,Republican,Marco Rubio,Republican,Rick Santorum,0.055634910389050933,0.58636393750560623,0.019844098899697332,0.010833968239412252,0.007951683281001997
125,Republican,Marco Rubio,Republican,Ted Cruz,-0.49399342106624888,2.3517122291464303e-07,0.089738923448337171,-0.49955718834067481,0.39282486045151715
126,Democrat,Martin O'Malley,Republican,Ben Carson,-0.12453375195795838,0.22179613579397911,0.16240451261662656,-0.19971690656711327,0.10746706234476047
127,Democrat,Martin O'Malley,Democrat,Bernie Sanders,-0.21751937298334625,0.031433935543861827,0.34707275898045387,-0.7578431862131435,0.47873534453981209
128,Democrat,Martin O'Malley,Republican,Carly Fiorina,-0.042288829103236031,0.67927568764148805,0.082529081334500501,-0.034226064915183894,0.020505632472007377
129,Democrat,Martin O'Malley,Republican,Chris Christie,-0.032353223589173717,0.75180972889453079,0.039835099959318568,-0.012634163729256602,0.012869086753082159
130,Democrat,Martin O'Malley,Republican,Donald Trump,0.10829188247187356,0.28850580099101208,0.25212670468201193,0.26909890533761999,0.26710587123676754
131,Democrat,Martin O'Malley,Democrat,Hillary Clinton,-0.070955825331551758,0.48750028597534312,0.34697325362719833,-0.24183308163732706,0.52081301663998014
132,Democrat,Martin O'Malley,Republican,Jeb Bush,-0.13637102586597818,0.18058779323234758,0.05428591864487578,-0.073218569138338699,0.0242749076342486
133,Democrat,Martin O'Malley,Republican,John Kasich,-0.10888089907861381,0.28587573853745518,0.043815218801319777,-0.047022094719205432,0.012743395778050616
134,Democrat,Martin O'Malley,Republican,Marco Rubio,-0.040116275600687104,0.69491532954282764,0.25528461388666729,-0.10042240157595571,0.18894734727825144
135,Democrat,Martin O'Malley,Democrat,Martin O'Malley,1.0,0.0,0.0,1.0,0.0
136,Democrat,Martin O'Malley,Republican,Mike Huckabee,-0.096288652722912441,0.34559259259740194,0.080405612891407047,-0.076211369541970678,0.024687246453890678
137,Democrat,Martin O'Malley,Republican,Rand Paul,-0.080206509964807007,0.43240526478942898,0.08152536623968025,-0.064274607517818202,0.03477286794950861
138,Democrat,Martin O'Malley,Republican,Rick Santorum,-0.095782777886763648,0.34814446358587336,0.049523709581642629,-0.046691474651600499,0.010373333031576922
139,Democrat,Martin O'Malley,Republican,Ted Cruz,0.15150630424489009,0.13643387625589773,0.25538530131316262,0.38353477623737131,0.29569647454213183
140,Republican,Mike Huckabee,Republican,Ben Carson,-0.18063750302947024,0.075084276967459854,0.20339665836861326,-0.36600837511466316,0.11463314029102424
141,Republican,Mike Huckabee,Democrat,Bernie Sanders,-0.031245821079893609,0.7600434706229261,0.44904413692535261,-0.13753989645769749,0.47581958240660466
142,Republican,Mike Huckabee,Republican,Carly Fiorina,-0.29532683132893656,0.0031549546152345636,0.099709051546585548,-0.30198791168746314,0.027490688732235084
143,Republican,Mike Huckabee,Republican,Chris Christie,-0.05776454280742277,0.57209087946184112,0.050271621452937211,-0.0285000502632538,0.013451052229803598
144,Republican,Mike Huckabee,Republican,Donald Trump,0.16641881124988361,0.10147040273862046,0.31596353607390371,0.52248495243839621,0.25674469879745165
145,Republican,Mike Huckabee,Democrat,Hillary Clinton,0.063809361900663553,0.53248821564860682,0.43859273382804287,0.27476878903255819,0.51221525709654314
146,Republican,Mike Huckabee,Republican,Jeb Bush,-0.15527212807314167,0.12684340691085327,0.068394222564025706,-0.10532900441060052,0.026207814208165269
147,Republican,Mike Huckabee,Republican,John Kasich,-0.24622305083679649,0.014527002179787921,0.053974585671930961,-0.13434896520526257,0.015589743468918463
148,Republican,Mike Huckabee,Republican,Marco Rubio,-0.41629562594702907,2.0130316266693653e-05,0.29349665450686419,-1.3166404355310943,0.21980243007124811
149,Republican,Mike Huckabee,Democrat,Martin O'Malley,-0.096288652722912441,0.34559259259740194,0.12835034921303332,-0.12165513753282817,0.01114145728880009
150,Republican,Mike Huckabee,Republican,Mike Huckabee,1.0,0.0,0.0,1.0,0.0
151,Republican,Mike Huckabee,Republican,Rand Paul,-0.0046548864769499695,0.9637167310097895,0.10333437959884026,-0.0047129654063155996,0.034358297677837678
152,Republican,Mike Huckabee,Republican,Rick Santorum,-0.07741249136536571,0.44866061512310695,0.062670719092356525,-0.04767783767482188,0.011136983073849286
153,Republican,Mike Huckabee,Republican,Ted Cruz,0.24275636673981288,0.016019294917069077,0.31666829630594517,0.77642590568100434,0.28016518075922647
154,Republican,Rand Paul,Republican,Ben Carson,-0.35488927485039579,0.0003363040908804999,0.19095514347590556,-0.7102165991964865,0.13014782558064703
155,Republican,Rand Paul,Democrat,Bernie Sanders,0.34792251836844496,0.00044741709442508307,0.41600451354750578,1.5126349531283991,0.42071017446225606
156,Republican,Rand Paul,Republican,Carly Fiorina,0.15134264011082774,0.13686283778752451,0.10189065734011017,0.15284907007603038,0.014990188988008593
157,Republican,Rand Paul,Republican,Chris Christie,0.30796413724816807,0.0020360983050765544,0.04731792915327282,0.15007186263663858,0.0076261104999126635
158,Republican,Rand Paul,Republican,Donald Trump,-0.28248264564286057,0.004829473665573486,0.30359355701306784,-0.87594731503415368,0.29931305295157778
159,Republican,Rand Paul,Democrat,Hillary Clinton,-0.33003783766471079,0.00090406776944602029,0.40975037464736114,-1.4036588654590467,0.56689468522939346
160,Republican,Rand Paul,Republican,Jeb Bush,0.093058064467373636,0.36209116035688871,0.068083999117838565,0.062348115482797381,0.021538364535099309
161,Republican,Rand Paul,Republican,John Kasich,0.3845463774632914,9.2521920258958816e-05,0.050773401912796993,0.20723790056907848,0.0052603020988793133
162,Republican,Rand Paul,Republican,Marco Rubio,0.21831168406082141,0.030806204631412766,0.31112906308307098,0.68195726854561634,0.16476889190572355
163,Republican,Rand Paul,Democrat,Martin O'Malley,-0.080206509964807007,0.43240526478942898,0.12695012423574903,-0.10008749161091818,0.011641771651492258
164,Republican,Rand Paul,Republican,Mike Huckabee,-0.0046548864769499695,0.9637167310097895,0.10080324669392404,-0.0045975232672524156,0.024218666204947951
165,Republican,Rand Paul,Republican,Rand Paul,1.0,0.0,0.0,1.0,0.0
166,Republican,Rand Paul,Republican,Rick Santorum,-0.044911886717624742,0.66057303432189973,0.062022074215041183,-0.027320059941713114,0.010925368583310094
167,Republican,Rand Paul,Republican,Ted Cruz,-0.20137339904280566,0.046774563182070746,0.31580536627537176,-0.6361306643539868,0.32063116846502021
